brand,title,price,review_title,review_text,review_rating,review_date,overall_rating
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069",Really happy,"Upgraded from an iPhone 13 Pro Max. Normally get a contract but thought I’d just buy the phone off Amazon and then get a 12 month contract. Works great and really good camera. No faults at all.Taken a while to be delivered as I think the first one got stolen in an Amazon depot
",5,9-Apr-24,4.5
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069","IMO, the best premium mobile phone by far...","I'n a huge Apple fan with numerous Apple devices in the house; but a huge fan of Android too (Google Pixel 4XL still and recently a Pixel Fold).My main driver will always be an iPhone due to having the AWU also; but now that 15PM is on USB C it means if I need a cable to charge, I've a plethora of them. No idea where my lightning cables are...!The device in its new titanium finish is superb (I've gone for blue and glad I did over black or 'natural'); the camera / picture quality is superb and overall it's fast, slick and the battery life is excellent alsoI sold my 14PM for £900 on eBay; this cost me a few £hundred to upgrade. Well worth it...
",5,20-Feb-24,4.5
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069","Quick,Great camera","Wife loves it obviously….
",5,21-Apr-24,4.5
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069",Nice design,"The media could not be loaded.
                



 Maybe i shouldn't say this here,but Samsung it is ""my heart"" and nr 1 for me.I am not an apple user and not a big fun of it.Since iphone 14 Pro Max apple has start to take my attention about design.With the relase of iphone 15 Pro Max,apple""catch""me with a more impressed design and a ""luxury""phone provided withe the titanium frame.Bit more thiny than 14pm,eazy to hold and good grip,no finger prints.Whats confuse me and makes me difficult to understand both phone14pm and 15pm have same screen,but the 15pm will leave the impression that it is a bit smaller than his brothet14pm.The price?well..for 1T.=£1599...it is up to me....a bit  expensive but i need it.Camera?hmmm...not very well impressed,but from 1 to 10 i give 8.I still have to discover many things on it.Battery?looks good...standard use can last 3 even 4days in my case...just using as a phone for sms and calls.With intense use can last 24h without problem(i tested)Medium use,last for me 2 full days and on 2nd day around 11:20pm it was stil 32% battery.
",5,4-Mar-24,4.5
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069",The screen freezes and I charge the battery every day.,"I bought an IPhone 15 pro max in December. The phone after 1 month started with different problems, the battery durability is just one day and I need charge every day, the screen sometimes its freezes and the unique solution is return the phone, but I asking about the guarantee, where is the guarantee? Because in my case I need a phone, just I want the replacement because the phone started with different problems. Sincerely I am so disappointed with Amazon and this service, if you can’t give to Apple customers great service, please don’t seller products from Apple. I will go to an official Apple Store and send the phone to they see everything for me. Because Amazon only accept the return to give a refund. They don’t have Iphones to replacement and the client in this case is a complete idiot.Update: Firstly, after many times contacting Amazon I tried to return the product, but they classified it as non-returnable. Why? I don’t know because the window return was to 31 January and I tried return before its day.Secondly, I went to the Apple Store and a technician saw everything on the phone. The phone camera has an internal issue, and the phone has problem with battery, and screen frezes too. Sometimes half screen is in black, sometimes freezes. Now I have a phone that doesn't work correctly and Amazon customer service doesn't want to accept the return or a replacement. Honestly this is so crazy because I bought it with many illusion and now that’s the great support that Amazon gives for me. Of course I will look about my rights because I will not be with a factory defected phone.Thirdly, I have an email from Apple Store, where they say exactly issues the phone has. I want a simple replacement or return this product. I don’t understand why is it so complicating and frustrating for me.
",1,20-Jan-24,4.5
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069",Fabulous!,"Just love it!  Looks great and feels quality…and relatively easy to use and set up.Typical iPhone brilliance! It’s expensive but you get what you pay for. I would definitely recommend.
",5,18-Mar-24,4.5
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069",Just does everything,"Brilliant phone everything about it is great.
",5,26-Mar-24,4.5
Apple,Apple iPhone 15 Pro Max (256 GB) - Black Titanium,"1,069",Great phone,"I had to reorder this phone on Apple.com since it did not arrive however the phone is remarkable especially since I upgraded from an phone Xs
",5,29-Apr-24,4.5
Apple,Apple iPhone 15 (128 GB) - Black,,It’s Apple so you expect the best,"Yes the camera is better than my IPhone 10 Max . Battery life is also better… It's everything I would expect from Apple. So far so good after one month of use…
",5,17-Apr-24,4.5
Apple,Apple iPhone 15 (128 GB) - Black,,Good phone,"I love this phone
",5,8-Apr-24,4.5
Apple,Apple iPhone 15 (128 GB) - Black,,Lovely phone,"Very pleased with this iPhone great camera great all round highly recommended
",5,26-Apr-24,4.5
Apple,Apple iPhone 15 (128 GB) - Black,,A tough call - do I really love it?,"A trade up from my trusty iPhone 6S (which was becoming less trusty by the day, suffering from a rapidly depleted battery after very little daily use). First impressions of the iPhone 15 - by comparison, a bland, uninteresting design in an uninspiring choice of colours. I'm getting used to the face recognition, which seems very efficient, even in low light, but I find less universally adopted by some of the apps I use, compared to touch ID. Battery life is excellent - with my conservative use, I find I can go three or four days between charges.  I was impressed by how easy it was to transfer the settings etc. from my old 'phone to the new one - I was up and running in very little time. Probably the most significant improvements over its immediate predecessor are in the area of capturing pictures - something I tend to do with a camera, being a bit old-school (I really should try to get with the programme!). There's no socket for a headphone jack, so I've been obliged to purchase a modestly priced pair of Bluetooth earbuds and I find they work very well with streamed music. Image quality is good - as you'd expect - and the phone has the capacity to do a great deal more than I will ever ask of it. For someone who will make extensive use of its features, the iPhone 15 probably represents great value for money; for me, probably less so.
",4,3-Feb-24,4.5
Apple,Apple iPhone 15 (128 GB) - Black,,A good upgrade on my iPhone X,"It’s the latest iPhone & the old one was getting long in the tooth & the battery failing. Transferring data etc from the old phone to the new one was simple & I was up and running after about 10 minutes. The phone is a lot quicker & runs the latest software. It’s an iPhone so what is there to dislike. As you probably guessed I am an Apple fan, so somewhat biased.  But it syncs with my iMac and my iPad Air ( now 6 years old & next for replacement) and everything works smoothly.
",5,28-Mar-24,4.5
Apple,Apple iPhone 15 (128 GB) - Black,,Bought for the daughter,"It’s an IPhone! It lets you do phone stuff! Daughter is chuffed.
",5,19-Mar-24,4.5
Apple,Apple iPhone 15 (128 GB) - Black,,Bluetooth not working,"Be aware that Bluetooth does not work reliably or at all, on these phones. I got mine through the Amazon Apple Store.  Apple is not advertising the fact, of course, and so I’m not sure if this is a software or hardware problem. I have tried a range of Bluetooth periferals that worked fine with older iPhone models.  It won’t even find many of them and when it does say that it is connected, it clearly is not paired.  The only 'solutions' being offered are turning a long list of things off and on in the hope that this will somehow help. It has’nt.The battery seems to need charging more often than I would have anticipated on a new phone and gestures also seem  flaky. My advice would be to try before you buy or skip upgrading.  I wish I hsd.
",1,22-Feb-24,4.5
